;
; catches-in-kilos from all cod fleets
;
;<year> <step> <area> <fleet> <biomass>
1990 2 2 catch.russia   2128508
1990 3 2 catch.russia     79842
1990 4 2 catch.russia    318217
1991 1 1 catch.russia   6610008
1991 2 1 catch.russia   2343409
1991 3 1 catch.russia  10634085
1991 4 1 catch.russia  10662762
1991 1 2 catch.russia  24224901
1991 2 2 catch.russia   9138941
1991 3 2 catch.russia         0
1991 4 2 catch.russia  11997656
1992 1 1 catch.russia  17091287
1992 2 1 catch.russia    434853
1992 3 1 catch.russia  15802095
1992 4 1 catch.russia   8696663
1992 1 2 catch.russia  14237642
1992 2 2 catch.russia  24055749
1992 3 2 catch.russia     12237
1992 4 2 catch.russia   3556286
1993 1 1 catch.russia  16341658
1993 2 1 catch.russia   7654225
1993 3 1 catch.russia  32096828
1993 4 1 catch.russia   7887882
1993 1 2 catch.russia  32984664
1993 2 2 catch.russia  28200160
1993 3 2 catch.russia    262488
1993 4 2 catch.russia  18438635
1994 1 1 catch.russia  41540508
1994 2 1 catch.russia   5496589
1994 3 1 catch.russia  51876641
1994 4 1 catch.russia  11959536
1994 1 2 catch.russia  44458875
1994 2 2 catch.russia  17672298
1994 3 2 catch.russia    631729
1994 4 2 catch.russia    850380
1995 1 1 catch.russia  50522831
1995 2 1 catch.russia  22348724
1995 3 1 catch.russia  23954861
1995 4 1 catch.russia  24893780
1995 1 2 catch.russia  21198259
1995 2 2 catch.russia  35297520
1995 3 2 catch.russia   1022831
1995 4 2 catch.russia   2056158
1996 1 1 catch.russia  45373253
1996 2 1 catch.russia  52439905
1996 3 1 catch.russia  48527464
1996 4 1 catch.russia  10819009
1996 1 2 catch.russia  25656547
1996 2 2 catch.russia  30805397
1996 3 2 catch.russia    624286
1996 4 2 catch.russia   1191654
1997 1 1 catch.russia  23300774
1997 2 1 catch.russia  65587051
1997 3 1 catch.russia  88432130
1997 4 1 catch.russia  13708504
1997 1 2 catch.russia  19374795
1997 2 2 catch.russia  25692599
1997 3 2 catch.russia    230777
1997 4 2 catch.russia   3526301
1998 1 1 catch.russia  18515527
1998 2 1 catch.russia   9993605
